4076874/9223372036854775807 tests done so far. successes: 4076874, failures: 0.
4077171/9223372036854775807 tests done so far. successes: 4077171, failures: 0.
4077469/9223372036854775807 tests done so far. successes: 4077469, failures: 0.
4077766/9223372036854775807 tests done so far. successes: 4077766, failures: 0.
4078064/9223372036854775807 tests done so far. successes: 4078064, failures: 0.
4078361/9223372036854775807 tests done so far. successes: 4078361, failures: 0.
4078660/9223372036854775807 tests done so far. successes: 4078660, failures: 0.
4078959/9223372036854775807 tests done so far. successes: 4078959, failures: 0.
4079257/9223372036854775807 tests done so far. successes: 4079257, failures: 0.
4079554/9223372036854775807 tests done so far. successes: 4079554, failures: 0.
4079851/9223372036854775807 tests done so far. successes: 4079851, failures: 0.
4080149/9223372036854775807 tests done so far. successes: 4080149, failures: 0.
4080445/9223372036854775807 tests done so far. successes: 4080445, failures: 0.
4080743/9223372036854775807 tests done so far. successes: 4080743, failures: 0.
4081043/9223372036854775807 tests done so far. successes: 4081043, failures: 0.
4081341/9223372036854775807 tests done so far. successes: 4081341, failures: 0.
4081640/9223372036854775807 tests done so far. successes: 4081640, failures: 0.
4081940/9223372036854775807 tests done so far. successes: 4081940, failures: 0.
4082239/9223372036854775807 tests done so far. successes: 4082239, failures: 0.
4082536/9223372036854775807 tests done so far. successes: 4082536, failures: 0.
4082833/9223372036854775807 tests done so far. successes: 4082833, failures: 0.
4083129/9223372036854775807 tests done so far. successes: 4083129, failures: 0.
4083426/9223372036854775807 tests done so far. successes: 4083426, failures: 0.
4083725/9223372036854775807 tests done so far. successes: 4083725, failures: 0.
4084023/9223372036854775807 tests done so far. successes: 4084023, failures: 0.
4084322/9223372036854775807 tests done so far. successes: 4084322, failures: 0.
4084619/9223372036854775807 tests done so far. successes: 4084619, failures: 0.
4084918/9223372036854775807 tests done so far. successes: 4084918, failures: 0.
4085216/9223372036854775807 tests done so far. successes: 4085216, failures: 0.
4085513/9223372036854775807 tests done so far. successes: 4085513, failures: 0.
4085809/9223372036854775807 tests done so far. successes: 4085809, failures: 0.
4086106/9223372036854775807 tests done so far. successes: 4086106, failures: 0.
4086407/9223372036854775807 tests done so far. successes: 4086407, failures: 0.
4086706/9223372036854775807 tests done so far. successes: 4086706, failures: 0.
4087005/9223372036854775807 tests done so far. successes: 4087005, failures: 0.
4087302/9223372036854775807 tests done so far. successes: 4087302, failures: 0.
4087599/9223372036854775807 tests done so far. successes: 4087599, failures: 0.
